,roles,companies,locations,experience,skills
974,Associate Scientist - Bio-Economic and Value Chain Modelling,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEM I ARID TROPICS (ICRISAT),Hyderabad,1-3 Yrs,"Value Chain Modelling
Bio - Economic"
975,"Decision Scientist , Risk Management",Analytics Vidhya Educon Pvt. Ltd,Bengaluru,2-4 Yrs,"Analytical skills
Logistic regression
Data analysis
Operations research
Machine learning
HTML
Risk management
MATLAB"
976,Senior Machine Learning Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-5 Yrs,"User research
Computer vision
data science
Machine learning
Data structures
HTML
Predictive modeling
Analytics"
977,"Senior Decision Scientist , Risk Management",Analytics Vidhya Educon Pvt. Ltd,Bengaluru,2-7 Yrs,"Logistic regression
Data analysis
Operations research
data science
Risk analytics
HTML
Risk management
MATLAB"
978,Machine Learning Scientist,CAREER MAKERS,"Bengaluru, Bengaluru / Bangalore",5-8 Yrs,"IT Skills
Java
Python
Software Development
Machine Learning
matlab
python
java"
979,Machine Learning Scientist,CAREER MAKERS,Bengaluru,5-10 Yrs,"matlab
python
java
software development
c
data modeling
data mining
perl"
980,Lead AI Scientist,Target Corporation India Pvt Ltd,Bengaluru,6-11 Yrs,"Supply chain
C++
Data analysis
Machine learning
Troubleshooting
Open source
Data mining
Distribution system"
981,Operations Research Scientist for A reputed IT Organisation for Kolkat,Ascend HR Solutions,Kolkata,8-13 Yrs,"Operations research
SAS
Demand forecasting
Programming
Scheduling
it
Business Executive
research"
982,Machine Learning Scientist,CAREER MAKERS,Bengaluru,5-10 Yrs,"matlab
python
java
software development
c
data modeling
data mining
perl"
983,CPU Architecture Research Scientist,Approgence Inc.,Bengaluru,10-15 Yrs,"Building
C++
Architecture
Intellectual property
Architectural design
Perl
Box
System software"
984,Sr Executive /Ass. Manager DSP - Research Scientist,Jobsguru Consultant Pvt. Ltd,Delhi NCR,5-10 Yrs,Analytics
985,Machine Learning Scientist,CAREER MAKERS,"Bengaluru, Bengaluru / Bangalore",5-8 Yrs,"IT Skills
Java
Python
Software Development
Machine Learning
matlab
python
java"
986,Python Developer,Larsen & Toubro Infotech Limited,India,3-7 Yrs,"System testing
Data analysis
Front end
Django
Machine learning
Javascript
Data processing
Unit testing"
987,EXL_Statistical Modeling_Gurgaon,EXL Services.com ( I ) Pvt. Ltd.,Gurgaon(Cyber City),3-7 Yrs,"Model Development
Python
SAS Macros
R
Data Manipulation
Data Analysis
Data Extraction
Data Analytics"
988,Machine Learning Engineer,LENSKART SOLUTIONS PRIVATE LIMITED,Delhi NCR,2-7 Yrs,"Data Science
Artificial Intelligence
Machine Learning
Python"
989,Analyst- Data Operations,Wolters Kluwer India Pvt Ltd,Pune,3-8 Yrs,"advanced analytics
tableau
data manipulation
statistical modelling
data visualization
Spark
machine learning
Statistics"
990,Programmer/Analyst,Netapp India Private Limited,Bengaluru,2-5 Yrs,"Big Data Analytics
Presto
NoSQL
Artificial Intelligence
Hadoop
Data Modeling
Machine Learning
Predictive Analytics"
991,"Rapidminer Developer For Bangalore, Pune, Gurgaon Locations",Spectrum Talent Management Pvt. Ltd,"Pune, Bengaluru, Gurgaon",2-7 Yrs,"Data Science
Rapidminer Developer
Data Manipulation
Relational Databases
Advanced Analytics
Problem Solving
Data Extraction
Data Analytics"
992,Big Data + Analytics,Bristlecone India Limited,"Pune, Mumbai, Bengaluru",7-12 Yrs,"Big Data Analytics
Big Data
Analytics"
993,IT Manager (Analytics & Digital) - Pharma Company - Mumbai,Hector and Streak Consulting Pvt Ltd,Mumbai,8-13 Yrs,"RPA
Artificial Intelligence
Big Data
Data Visualization
Digital
Machine Learning"
994,Lead Data Science,Bigshyft Hiring for Worley,Mumbai,10-14 Yrs,"R
Artificial Intelligence AI
Machine Learning ML
Deep Learning
Python"
995,Python Developer,Larsen & Toubro Infotech Limited,India,3-7 Yrs,"System testing
Data analysis
Front end
Django
Machine learning
Javascript
Data processing
Unit testing"
996,Data Science,Bigshyft Hiring for GSN Games,Bengaluru,3-5 Yrs,"Machine Learning ML
Statistical Modelling
Python
SQL"
997,"Data Science Analyst - R, Python",Larsen & Toubro Infotech Limited,india,2-7 Yrs,"Logistic regression
Neural networks
Analytical
Data structures
Business intelligence
Continuous improvement
Analytics
Monitoring"
998,Senior Manager - Analytics ( CPG ),Tredence Analytics Solutions Private Limited,Bengaluru(Whitefield),10-15 Yrs,"R
CPG Analytics
Account Mining
Presales Consulting
Time Series
Solutioning
Data Analytics"
999,Senior ML Data Engineer,Wolters Kluwer India Pvt Ltd,Pune,7-11 Yrs,"Data Science
NLP
datamodeler
Statistical Modeling
Data Analysis
Perl
Data Modeling
Machine Learning"
1000,Senior ML Data Engineer,Wolters Kluwer India Pvt Ltd,Pune,7-11 Yrs,"Data Science
NLP
datamodeler
Statistical Modeling
Data Analysis
Perl
Data Modeling
Machine Learning"
1001,Manager- Data Science (customer Insights),Wolters Kluwer India Pvt Ltd,Pune,8-13 Yrs,"Data Science
SAS SQL
Algorithms
Excel Powerpoint
Segmentation
Artificial Intelligence
Advanced Analytics
Spark"
1002,Data Science(nlp),Wolters Kluwer India Pvt Ltd,Pune(Kalyani Nagar),4-9 Yrs,"hive
deep learning
python
R
nlp
natural language processing
data science
machine learning"
1003,Senior Analyst- Data Science (NLP Specialist),Wolters Kluwer India Pvt Ltd,Pune,5-9 Yrs,"Data Science
R
NLP
Data Analysis
Data Collection
Data Processing
Machine Learning
MATLAB"
1004,Data Science- Python Programming Language Analyst,Accenture Solutions Pvt Ltd,Mumbai,3-5 Yrs,"Data Science
Artificial Intelligence
Business Insights
Python Programming
Analytics
programming
Python"
1005,Team Leader - BI Analytics @ Tech Mahindra Buisness Services,Tech Mahindra Business Services Limited,Mumbai,3-7 Yrs,"excel
r
python
data analysis
sas
sentiment analysis
data mining
predictive modeling"
1006,"Analytics Consultant, Python/R",Fractal Analytics Ltd,"Mumbai, Bengaluru, Gurgaon",1-6 Yrs,"Computer science
Data conversion
Project management
Machine learning
Data quality
Predictive modeling
Anova
Stakeholder management"
1007,Artificial Intelligence Developer,2Coms Consulting Pvt Ltd.,"Chennai, Pune, Mumbai",3-8 Yrs,"Data Science
R
NLP
Algorithms
Artificial Intelligence
Image Processing
Natural Language Processing
Machine Learning"
1008,Data Science Engineer - R/python,Techstar Software Development India Pvt. Ltd.,Bengaluru,3-6 Yrs,"Data Science
Data Ingestion
Tensorflow
R
Data Scientist
PySpark
Statistical Modeling
Machine Learning"
1009,Machine Learning/ Deep Learning Role - SaaS,Keysite Solutions,"Singapore, Overseas, International",2-5 Yrs,"Artificial Intelligence
Big Data
Data Visualization
Data Modeling
Data Analytics
Machine Learning
Analytics
Python"
1010,Sr Data Analyst - Startup - Bangalore,Benchire,Bengaluru,3-8 Yrs,"Data analysis
R
Statistical Analysis
SQL
Python"
1011,Data Science/ Analysis Expert - Machine Learning,Catalyst,Bengaluru,2-6 Yrs,"Regression Algorithms
NLP
Data Scientist
Artificial Intelligence
Data Modeling
Data Warehousing
Data Analytics
ETL"
1012,Data Analyst,SUPPORT STAR CORPORATE SERVICES PVT. LTD.,Hyderabad,2-5 Yrs,"Statistical modeling
model validation
SAS
model development
Predictive modeling
Credit risk
credit card
credit model"
1013,Model governance / Data Science For US MNC,The Glove,Mumbai,2-7 Yrs,"Data Science
Model Validation
model development
R
SAS
model governance
Python"
1014,"Part Time Trainer - Python, R, Machine Learning",PPN Solutions Pvt Ltd.,"Chennai, Pune, Delhi NCR, Mumbai, Ahmedabad, Bengaluru, Hyderabad, Kolkata",5-10 Yrs,"Data Science
R
Providing Training
Part Time
Machine Learning
Python"
1015,Solution Architect - Artificial Intelligence - Group Industrialization,Maven Workforce Pvt. Ltd,"Mumbai, Bengaluru, Hyderabad",12-20 Yrs,"Data Science
Tensorflow
NLP
Artificial Intelligence
Big Data
Caffe
Solution Design
Machine Learning"
1016,Machine Learning Trainer - IT,Maven Workforce Pvt. Ltd,Bengaluru,2-3 Yrs,"NLP
Data Visualization
Training and Development
Machine Learning
Statistics
Python"
1017,Sr Data Analyst - Startup,Benchire,Bengaluru,3-8 Yrs,"Data analysis
R
Data Analysis
Statistical Analysis
SQL
Python"
1018,Solution Architect - Machine Learning - IT,Maven Workforce Pvt. Ltd,"Mumbai, Bengaluru, Hyderabad",13-20 Yrs,"Data Science
NLP
Artificial Intelligence
Big Data
Data Visualization
Solution Design
Statistics
Machine Learning"
1019,Model Development Role - SAS + Python - BFSI,Maven Workforce Pvt. Ltd,"Pune, Mumbai",9-12 Yrs,"Predictive Modeling
NLP
SAS
Statistical Modeling
Big Data
Data Visualization
Data Modeling
Statistics"
1020,Model governance / Data Science For US MNC,The Glove,Mumbai,2-7 Yrs,"Data Science
Model Validation
model development
R
SAS
model governance
Python"
1021,Digital Data Engineering Practitioner,Accenture Solutions Pvt Ltd,Hyderabad,3-6 Yrs,"algorithms
technical
Data mining
MATLAB
Analytics
cloud
Business objects
Simulation"
1022,Data Analyst,Paytm,Noida,1-3 Yrs,"hive
Basic
customer analytics
E-commerce
Data Analyst
Analyst 1
big data
Analytics"
1023,Applied Scientist - Intern,Amazon India Software Dev Centre Pvt Ltd,Bengaluru,0-2 Yrs,"com
rest
development
c
software
developing
Perl
Customer service"
1024,Senior Software Engineer- NLP/ML,Xavient Digital - Powered by TELUS International,Noida,3-6 Yrs,"Data Science
Tensorflow
Predictive Modeling
NLP
Artificial Intelligence
Keras
Spacy
Machine Learning"
1025,Se/sse/lead - Data Science,Bold Technology Systems Private Limited,Noida(Sector-135 Noida),3-8 Yrs,"Data Science
Predictive Modeling
R
NLP
Neural Networks
Decision Trees
Machine Learning
Deep Learning"
1026,Digital - Data Lakes - Data Mining Engineer,FactSet Systems India Pvt Ltd,Hyderabad,3-7 Yrs,"Automation
Data analysis
GIT
Linux
Data structures
Windows
Data mining
MATLAB"
1027,Data Science Platform Administrator,Seagate Technology HDD (India) Pvt Ltd,Pune,3-8 Yrs,"Data Science
R
Data Engineering
Hadoop
Knime
Machine Learning
Statistical Analysis
Deep Learning"
1028,Data Engineer,Mavenir,Bengaluru,3-5 Yrs,"Economics
C++
RCS
spark
Network optimization
Machine learning
Cloud
Consultancy"
1029,Software Engineer II,"Total System Services, Inc.",Pune,3-6 Yrs,"Computer science
Data modeling
GCP
Formulation
Machine learning
Apache
Information technology
Middleware"
1030,Business Analyst(Must have worked with Watson Explorer(WEx),Collabera Technologies Private Limited,Pune,2-5 Yrs,"Data Science
Java
Project Management
Linux
Agile
Watson Explorer
Watson
WEx"
1031,Urgent -Computer Scientists/ Developers (c/c++/CAD/ Matlab)|,Executive Tracks Associates (P) Ltd.,Pune,2-5 Yrs,"Full Stack Web Development Knowledge on CI/CD Tools
Knowledge in MATLAB
C/ C++ & Python & Qt"
1032,Data Analyst- Ml/data Science,Bigshyft Hiring for Intello Labs,Gurgaon,2-4 Yrs,"R
Hive
Statistical Modelling
MATLAB
Pig"
1033,Modeling Expert-python & Big Data-mumbai (automobile Industry 4-8 year,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Mumbai,4-8 Yrs,"Predictive Modeling
Multivariate Analysis
R
Hive
Text Analytics
Artificial Intelligence
Hadoop
Big Data"
1034,Sr Analyst /Manager-modeling Analyst,Placewell Consultants,Mumbai,4-8 Yrs,"warranty analysis
Data Scientist
Data Modeling
problem resolution"
1035,Software Development Engineer,Amazon India Software Dev Centre Pvt Ltd,Bengaluru,1-5 Yrs,"Computer science
Object oriented design
Publishing
Analytical
Machine learning
Data structures
Technology solutions
Data mining"
1036,Data Science Engineer,Bigshyft Hiring for TechStar Group,Bengaluru,3-6 Yrs,"R
Spark
Machine Learning ML
Statistical Modelling
Python"
1037,Sr. Python/ Machine Learning Developer,WiseSource Solutions Private Limited,"Chennai, Bengaluru, Hyderabad",3-6 Yrs,"Pytorch
Tensorflow
Nltk
Data Science
Opencv
Keras
Machine Learning
Deep Learning"
1038,Looking For Data Science Lead - 7+yrs Exp,Careernet Technologies Pvt Ltd,Bengaluru,7-12 Yrs,"Data Science
NLP
Arima
Artificial Intelligence
Natural Language Processing
Neural Networks
Machine Learning
Stakeholder Management"
1039,Corporate Trainer - Python/ Advance Python,Koenig Solutions Ltd,any,2-7 Yrs,"Data Science
python
Artificial Intelligence
advance python
Machine Learning"
1040,Senior Software Engineer- NLP/ML,Xavient Digital - Powered by TELUS International,Noida,3-6 Yrs,"Data Science
Tensorflow
Predictive Modeling
NLP
Artificial Intelligence
Keras
Spacy
Machine Learning"
1041,Data Science Engineer,Varite,Bengaluru,3-8 Yrs,"MS SQL
data science
RDBMS
Postgresql
Machine learning
Healthcare
Oracle
microsoft"
1042,PDE Process Control System ( PCS ) Engineer,Micron Technology Operations India LLP,India,2-7 Yrs,"R
Networking
Classification
Hadoop
Big Data
Machine Learning
Statistics
Deep Learning"
1043,Programmer/Analyst,Netapp India Private Limited,Bengaluru,2-5 Yrs,"Big Data Analytics
Presto
NoSQL
Artificial Intelligence
Hadoop
Data Modeling
Machine Learning
Predictive Analytics"
1044,Data Annotator - Bangalore - Work from Home,CIEL HR Services Pvt Ltd,Bengaluru,1-3 Yrs,"work from home
Data Science
tensorflow
python
data annotator
data annotation
image annotation
machine learning"
1045,Sr Analyst - Assistant Manager Analytics,Colgate Palmolive,Mumbai,6-11 Yrs,"R
Artificial Neural Networks
Periscope
Data Mining
Clustering
Machine Learning
Statistics
Analytics"
1046,Modeling Expert-python & Big Data-mumbai (automobile Industry 4-8 year,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Mumbai,4-8 Yrs,"Predictive Modeling
Multivariate Analysis
R
Hive
Text Analytics
Artificial Intelligence
Hadoop
Big Data"
1047,Sr Analyst /Manager-modeling Analyst,Placewell Consultants,Mumbai,4-8 Yrs,"warranty analysis
Data Scientist
Data Modeling
problem resolution"
1048,Algorithm Trader,Estee Advisors Private Limited,"Delhi NCR, Gurgaon",3-6 Yrs,"C++
R
Go
.Net
SPSS
Data Analytics
Quantitative Finance
MATLAB"
1049,Data Science Engineer,Cognologix Technologies,Pune,3-8 Yrs,"Text mining
Cloud computing
data science
Analytical
Artificial Intelligence
Machine learning
Information retrieval
Natural language processing"
1050,Mobile AI Engineer - NLP & Speech Tech,DataToBiz,"Panchkula, Chandigarh",2-7 Yrs,"deep learning
data science
Consulting
Machine learning
M&A
Application development
Project planning
Analytics"
1051,Machine Learning Internship,Codersarts,Noida,0-1 Yrs,"Computer vision
deep learning
Coding
Neural networks
Django
Machine learning
Natural language processing
Data analytics"
1052,Machine Learning Internship in Ahmedabad,MAXGEN TECHNOLOGIES PRIVATE LIMITED,"Ahmedabad(Navrangpura), Anand, Mehsana",0-0 Yrs,"summer internship
machine learning internship in ahmedabad
data science internship"
1053,Data Architect (Java Python and Tensorflow),Moglix,Noida,2-5 Yrs,"Text mining
Statistical analysis
data science
Data Architect
Information retrieval
Data quality
Natural language processing
Data mining"
1054,Data Engineer,DataKare Solutions,Hyderabad,0-2 Yrs,"Cloud computing
PDF
Linux
Data management
Coding
Analytical
Shell scripting
Machine learning"
1055,Looking For Data Science Lead - 7+yrs Exp,Careernet Technologies Pvt Ltd,Bengaluru,7-12 Yrs,"Data Science
NLP
Arima
Artificial Intelligence
Natural Language Processing
Neural Networks
Machine Learning
Stakeholder Management"
1056,Research Scientist - IBM Research,IBM India Pvt. Limited,Bengaluru,3-8 Yrs,"Quantum Computing
Technical Management
5G
Open Source
Artificial Intelligence
cloud management
networking
virtualisation"
1057,Associate Scientist / Senior Associate Scientist - Safety Assessment,Syngene International Limited,Bengaluru,2-6 Yrs,"DABT
Chromosomal aberration
Miicronucleus test
Genetic Toxicology
Bacterial reverse mutation test"
1058,Corporate Trainer - Python/ Advance Python,Koenig Solutions Ltd,any,2-7 Yrs,"Data Science
python
Artificial Intelligence
advance python
Machine Learning"
1059,Data Engineer - Machine Learning/configuration Management Tools,RS Consultants,Pune,2-7 Yrs,"Tensorflow
Java
Configuration Management Tools
GCP ML Stack
Data Management
Machine Learning
Spark ML - Lib
Data Science"
1060,Programmer/Analyst,Netapp India Private Limited,Bengaluru,2-5 Yrs,"Big Data Analytics
Presto
NoSQL
Artificial Intelligence
Hadoop
Data Modeling
Machine Learning
Predictive Analytics"
1061,Sr Analyst - Assistant Manager Analytics,Colgate Palmolive,Mumbai,6-11 Yrs,"R
Artificial Neural Networks
Periscope
Data Mining
Clustering
Machine Learning
Statistics
Analytics"
1062,Data Analyst - Global Reporting and Analytics,The Glove,Hyderabad,3-6 Yrs,"Data Analysis
Data Analytics
Python"
1063,Machine Learning Internship,Codersarts,Noida,0-1 Yrs,"Computer vision
deep learning
Coding
Neural networks
Django
Machine learning
Natural language processing
Data analytics"
1064,Mobile AI Engineer - NLP & Speech Tech,DataToBiz,"Panchkula, Chandigarh",2-7 Yrs,"deep learning
data science
Consulting
Machine learning
M&A
Application development
Project planning
Analytics"
1065,Data Architect (Java Python and Tensorflow),Moglix,Noida,2-5 Yrs,"Text mining
Statistical analysis
data science
Data Architect
Information retrieval
Data quality
Natural language processing
Data mining"
1066,Data Engineer,DataKare Solutions,Hyderabad,0-2 Yrs,"Cloud computing
PDF
Linux
Data management
Coding
Analytical
Shell scripting
Machine learning"
1067,Senior Data Science Engineer - Machine Learning/ Python,PayMe India,Noida,4-9 Yrs,"Predictive Modeling
Data Science
Data Scientist
Data Management
Data Mining
Data Analytics
Machine Learning
Deep Learning"
1068,Advanced Analytics Cons 4,Wells Fargo India Solutions Pvt. Ltd.,Bengaluru,4-8 Yrs,"SAN
Data analysis
Automation
data science
Analytical
Machine learning
Predictive modeling
commercial finance"
1069,Applied Scientist III - Machine Learning/ Deep Learning,MY Search,Bengaluru,9-14 Yrs,"Tensorflow
Java
R
C++
C
Statistical Modeling
MATLAB
PhD"
1070,Data Science Product Manager Artificial Intelligence/ Machine Learning,Catalyst,Bengaluru,4-9 Yrs,"Data Science
Tensorflow
R
NoSQL
Docker
Artificial Intelligence
Machine Learning
Deep Learning"
1071,Associate Vice President - Healthcare Analytics - SAS,Huquo Consulting Pvt. Ltd,Noida,10-15 Yrs,"Predictive Modeling
SAS
Statistical Modeling
Data Analytics
Statistics
Consulting - Healthcare
Analytics
Predictive Analytics"
1072,Manager - Quantitative Analyst - Python - BFS,New Avenues Consulting,Noida,5-9 Yrs,"Statistical Modeling
Financial Modeling
Data Analytics
Statistics
Analytics
Python
Quant"
1073,Con / AM / Mgr - Data Analytics ( CPG sector),Pylon Management Consulting Pvt Ltd,"Noida, Gurgaon",4-9 Yrs,"data analytics
CPG sector
statistics
arima
r
python
time series
statistical modelling"
1074,Manager - Machine Learning - Ensemble Modeling/ Classification,Catalyst,Bengaluru,7-12 Yrs,"OOP
Java
C++
C
Algorithms
Data Structures
Bash
Machine Learning"
1075,Assistant Manager/manager - SAS - AML - Credit Card Domain,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-8 Yrs,"Consulting - BFSI
SAS
Big Data
Data Modeling
Statistics
Analytics
Risk Management"
1076,Assistant Manager/manager - Anti Money Laundering Analytics - Banking,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-8 Yrs,"AML
Consulting - BFSI
SAS
Risk Analytics
Big Data
Statistical Modeling
Data Analytics
Statistics"
1077,Research Scientist - IBM Research,IBM India Pvt. Limited,Bengaluru,3-8 Yrs,"Quantum Computing
Technical Management
5G
Open Source
Artificial Intelligence
cloud management
networking
virtualisation"
1078,Associate Scientist / Senior Associate Scientist - Safety Assessment,Syngene International Limited,Bengaluru,2-6 Yrs,"DABT
Chromosomal aberration
Miicronucleus test
Genetic Toxicology
Bacterial reverse mutation test"
1079,Data Engineer - Machine Learning/configuration Management Tools,RS Consultants,Pune,2-7 Yrs,"Tensorflow
Java
Configuration Management Tools
GCP ML Stack
Data Management
Machine Learning
Spark ML - Lib
Data Science"
1080,LTI hiring For Python Developers_Hyderabad & Pune,Larsen & Toubro Infotech Limited,"Pune, Hyderabad",3-5 Yrs,"Data Science
GCP
google cloud
datascience
Python"
1081,Data Analyst,Concept International Business Consulting Pvt Ltd,"Delhi NCR, Gurgaon",3-5 Yrs,"R
Azure
DATA ENGINEERING
SAP Analytics Cloud
Python
SQL"
1082,Senior Data Science Engineer - Machine Learning/ Python,PayMe India,Noida,4-9 Yrs,"Predictive Modeling
Data Science
Data Scientist
Data Management
Data Mining
Data Analytics
Machine Learning
Deep Learning"
1083,Hiring ll Data Engineer ll automobile company_Delhi,BGPS MANAGEMENT SOLUTIONS PRIVATE LIMITED,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",4-9 Yrs,"Data Science
Data Engineer
Big Data"
1084,Data Science Product Manager Artificial Intelligence/ Machine Learning,Catalyst,Bengaluru,4-9 Yrs,"Data Science
Tensorflow
R
NoSQL
Docker
Artificial Intelligence
Machine Learning
Deep Learning"
1085,Delivery Manager - Machine Learning - IT,Maven Workforce Pvt. Ltd,Bengaluru,8-13 Yrs,"Artificial Intelligence
Statistical Modeling
Big Data
Data Mining
Data Visualization
Tableau
Machine Learning
Statistics"
1086,Data Science Product Manager,Talent Connect,"Bengaluru, KA",4-9 Yrs,"Machine Learning
Deep Learning and Artificial Intelligence
Statistics"
1087,Lead - Data Science - KPO,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,4-8 Yrs,"Data Science
R
Artificial Intelligence
Information Retrieval
Machine Learning
Statistical Analysis
Operations
Analytics"
1088,Senior Consultant/ Manager - Analytics,Talpro,Chennai,5-10 Yrs,"Data Science
Artificial Intelligence
Tableau
Machine Learning
Statistics
Analytics
SQL
Python"
1089,Risk Analytics Role - BFSI,Maven Workforce Pvt. Ltd,Pune,5-10 Yrs,"Consulting - BFSI
SAS
Risk Analytics
Statistical Modeling
Data Analytics
Risk Modeling
Machine Learning
Statistics"
1090,Data Analyst - Sql/r/python,The Hiring Story,Mumbai,1-3 Yrs,"R
Data Analyst
Data Analytics
Python
SQL"
1091,Opportunity For Data Engineer - 3LOQ Labs Pvt. Ltd.(Mumbai),3LOQ Labs Pvt. Ltd.,Mumbai,2-5 Yrs,"Distribution System
SCALA
Data Mining
Spark
Machine Learning
Python
SQL"
1092,Big Data Analyst- ML Modelling / Hadoop / Azure - immediate Joining,Teamlease Servcies limited,Mumbai,2-6 Yrs,"Cnn
Azure
Lstm
Reinforcement Learning
Big Data
SQL Azure
Machine Learning
Deep Learning"
1093,Con - Machine Learning engineer + Cloud Architect + Python (Techical),Pylon Management Consulting Pvt Ltd,Mumbai,2-4 Yrs,"Docker
GCP
KPI
Production Management
Big Data
Machine Learning
AWS
Deep Learning"
1094,Data Science / ML / AI & Blockly - Online Coding Trainer,Brainsearch Consulting Pvt Ltd,"Delhi NCR, Mumbai, Bengaluru",1-4 Yrs,"google blockly
Artificial Intelligence
coding blocks programming
K12
Machine Learning
NumPy
Deep Learning
Data Science"
1095,Data Analyst- ( H/ F ),Societe Generale Global Solution Centre Pvt Ltd,Chennai,12-16 Yrs,"Data Science
Predictive Modeling
R
NLP
NoSQL
Data Analysis
Data Visualization
Machine Learning"
1096,Technical Expert: Deep Learning & Computer Vision,Siemens Limited,Bengaluru,8-13 Yrs,"Computer science
Computer vision
Automation
Prototype
Image processing
Data management
Artificial Intelligence
Opengl"
1097,"Analytics Manager,",EXL Services.com ( I ) Pvt. Ltd.,Gurgaon(Cyber City),4-9 Yrs,"data analysis
insurance analytics
time series
svm
machine learning
Model Development
R
data reporting"
1098,Data Science Engineer,SEW Private Limited,Delhi NCR(Sector-62 Noida),4-8 Yrs,"data analysis
Google Analytics
data validation
Power Bi
Postgresql
Cassandra
Big Data
Tableau"
1099,"Solution Architect, Smart MFG & AI",Micron Semiconductor Asia Pte Ltd,Hyderabad,10-12 Yrs,"Computer science
data science
Architecture
Analytical
Artificial Intelligence
Production operations
Machine learning
Business intelligence"
1100,Fullstack Engineer,Bigshyft Hiring for Indium Software,Chennai,5-8 Yrs,"PostgreSQL
JavaScript
MySQL
AWS
Python"
1101,Senior Manager - Engineering,Indegene Private Limited,Bengaluru,5-10 Yrs,"Pytorch
Tensorflow
Data Science
Java
NLP
Artificial Intelligence
Healthcare
Keras"
1102,Tech Manager,Tech Mahindra Ltd.,Hyderabad,5-10 Yrs,"Pytorch
Tensorflow
Data Science
Predictive Modeling
Data Visualization
Caffe
Computer Vision
Machine Learning"
1103,"Analytics Manager,",EXL Services.com ( I ) Pvt. Ltd.,Gurgaon(Cyber City),4-9 Yrs,"data analysis
insurance analytics
time series
svm
machine learning
Model Development
R
data reporting"
1104,Distributed Computing/ Data Analytics developer,Novell India Pvt. Ltd.,Bengaluru,12-16 Yrs,"Computer science
Automation
Software design
cyber security
Machine learning
Intellectual property
SCALA
Open source"
1105,Analytics Manager with Presales experience,R Systems International Ltd.,Noida(Sector-59 Noida),12-15 Yrs,"Data Science
Team Handling
Artificial Intelligence
Natural Language Processing
Neural Networks
Presales
Individual contributor
Data Analytics"
1106,"Software Developer (ulsan, Korea) For EPM Solutions co. ltd.",EPM Solutions co. ltd.,South Korea,5-7 Yrs,"data analysis
software development
big data analytics
data engineer
visualisation software development
ai platform
statistical analysis
ai services"
1107,Machine Learning / AI Practice Head For Kolkata,Optimize IT Systems Private Limited,Kolkata,12-20 Yrs,"deep learning
algorithms
tensorflow
data science
keras
cloud computation
machine learning
big data"
1108,"Manager, Data Science",AERA SOFTWARE TECHNOLOGY PVT LTD,Pune,12-15 Yrs,"Random Forest
Time Series
Python
Predictive Modeling
Arima
Machine Learning
Statistics
Data Science"
1109,Immediate Joining Required - Data Science,Smart Cube India Private Limited,Delhi NCR,4-7 Yrs,"data science
statistical modeling
machine learning
Python"
1110,Hiring Python Developers,WELLS FARGO EGS (India) PRIVATE LIMITED,"Bengaluru, Hyderabad",6-10 Yrs,"Pyspark
Artificial Intelligence
Hadoop
SCALA
Big Data
Data Analysis
Data Analytics
Clustering"
1111,Opportunity For a Statistical Analyst role,TE Connectivity India Private Limited,Bengaluru,6-11 Yrs,"analytics
tableau
data science
predictive modeling
logistic regression
statistical analysis
data preparation
sql"
1112,Advanced Analytics Consultant - Commercial,ABC Consultants Pvt Ltd,Bengaluru,4-6 Yrs,"Commercial Analytics
analytics and data science
statistical modeling
applied statistics
Econometrics"
1113,Machine Learning Engineer,Aizant Global Analytics Pvt Ltd,Hyderabad,4-7 Yrs,"Tensorflow
ANN
C++
CNN
C
datamining
Artificial Intelligence
Neural Networks"
1114,Data Science,Client Of Sampoorna,Pune,12-16 Yrs,"Datascience
machine learning
artificial intelligence"
1115,Data Product Owner,Phenompeople Private Limited,Hyderabad,5-9 Yrs,"Data Science
R
Neo4J
Artificial Intelligence
Information Retrieval
Spark
Data Analytics
Data Cleaning"
1116,Data Science Technical Lead,ExecBoardinAsia,Bengaluru,11-15 Yrs,"Front end
data science
Machine learning
Technical Lead
data visualization
Python"
1117,"Demand Forecasting Manager - ( Sales, Inventory & Operations Planning)",Savitha R B,Gurgaon,4-9 Yrs,"quantitative modeling
Data Extraction
Demand Forecasting
Statistics
MATLAB
Machine Learning
Make To Order
Engineered To Order"
1118,Solution Architect - Smart MFG & AI,Micron Technology Operations India LLP,Hyderabad,10-15 Yrs,"Data Science
Business Intelligence
Artificial Intelligence
Hadoop
Advanced Analytics
Snowflake
Big Data
Spark"
1119,Data Engineer,Fractal Analytics Ltd,Bengaluru,4-6 Yrs,"Computer science
Cloud computing
C++
Linux
Shell scripting
Machine learning
Agile
JIRA"
1120,Sr Python Developer,Larsen & Toubro Infotech Limited,india,4-8 Yrs,"Oracle database
data science
Machine learning
MongoDB
Information technology
Statistics
Analytics
Python"
