,roles,companies,locations,experience,skills
470,Data Scientist,INFINIUM SOLUTIONZ PVT LTD,Ahmedabad,3-7 Yrs,"GIS
Data analysis
RDBMS
Coding
Project management
Machine learning
Data structures
MATLAB"
471,Senior Data Scientist,AICHUNKS Private Limited,Chandigarh,3-8 Yrs,Machine learning
472,Data Scientist (Jr. Resource),Job Scan Solution,Thrissur,3-6 Yrs,"data cleansing
deep learning
Machine learning
big data
Python"
473,Data Scientist,ThinkBumblebee Analytics Pvt. Ltd.,Pune,3-8 Yrs,"Computer science
Operations research
SAS
Campaign management
cassandra
Machine learning
Project delivery
MATLAB"
474,Data Scientist / Business Analyst,Analytics Vidhya Educon Pvt. Ltd,Mumbai,10-15 Yrs,"MS SQL
Excel
data science
Financial reporting
RDBMS
Database design
Analytical
HTML"
475,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Data analysis
data science
Analytical
Machine learning
HTML
Data mining
Analytics
Financial services"
476,Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-4 Yrs,"Operations research
Analytical
Machine learning
Data quality
Oracle
Data mining
Digital marketing
big data"
477,Data Scientist (Intern),AICHUNKS Private Limited,Chandigarh,3-8 Yrs,"Computer science
Intern
Machine learning"
478,Data Scientist,Fractal Analytics Ltd,Mumbai,2-5 Yrs,"Unix
Computer science
Logistic regression
Analytical
Data processing
Data structures
Data mining
Open source"
479,Data Scientist III,"General Mills, Inc.",Mumbai,6-11 Yrs,"Automation
Analytical
Machine learning
HTML
Data mining
Business solutions
Operations
Analytics"
480,opening For Data Scientist_Hyderabad,Inventech Info Solutions Pvt. Ltd.,"Chennai, Pune, Bareilly, Bengaluru, Ankleshwar, Anantapur, Bellary, Hyderabad, Angul",2-6 Yrs,"HIVE
R
Shell
Shell.
SQL
Python"
481,Data Scientist,BrainToSoul Consulting,Bengaluru,3-6 Yrs,"IT services
Usage
Algorithms
Support
level
Analytical
Hadoop
it"
482,Data Scientist Embedded Systems Innovation,CareerXperts Consulting,Bengaluru,3-7 Yrs,"Unix
Ubuntu
GIT
Analytical
Debugging
Machine learning
Programming
Product design"
483,Senior Data Scientist,Applied Data Finance,Chennai,3-7 Yrs,"MySQL Object Oriented program
g Python query language Python"
484,Senior Data Scientist,lgoAnalytics,Pune,3-4 Yrs,"data science
Bfsi
Senior
Machine learning
Writing
Service
Time
Statistics"
485,Data Scientist,Guavus Network Systems Pvt. Ltd.,Gurgaon,1-3 Yrs,"code
technical
testing
Hypothesis Testing
Data structures
Pattern recognition
Data mining
research"
486,Data Scientist,Korgen Technologies (P) Limited,Chennai,3-5 Yrs,"System architecture
Modification
advanced analytics
Data analysis
software
Data mining
SQL
analytics"
487,Junior Data Scientist,BangBit Technologies,Bengaluru,1-4 Yrs,"Computer science
Time management
SSRS
Machine learning
Programming
Data structures
SSIS
Troubleshooting"
488,Data scientist / Developer,Elton Consulting (INDIA) Private Limited,Coimbatore,3-8 Yrs,"development
sap
Architecture
Social media
Business Executive
sql
Mining
Graph"
489,Data Scientist Intern Rigbot,rigbot.com,Not Specified,0-1 Yrs,"Data Science
python
R
Hadeep
Machine Learning
SQL"
490,Data Scientists and Programmer,Zdaly,Bengaluru,2-5 Yrs,"SAN
Health insurance
tableau
Data modeling
cassandra
Script writing
big data analytics
Machine learning"
491,Data Scientist,Big Data BizViz (BizViz Technologies Pvt. Ltd),"Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
492,Hiring Data Scientist - Pune,People Powered Solutions,Pune(Kalyani Nagar),3-6 Yrs,"python
data science
big data analytics
predictive modeling
Data Scientist
machine learning
business intelligence
sql"
493,Data Scientist,Cumulations Technologies Pvt. Ltd.,not specified,1-3 Yrs,"Tools
mobile
Statistics
SQL
Web technologies
web
R Programming
Machine learning"
494,Position Senior Data Scientist,Positive Integers Pvt Ltd,Chennai,3-8 Yrs,"SAS
Workflow
Mentor
Analytics
Python"
495,Data Scientist -Technology,India Anlage Infotech (I) Pvt. Ltd.,Bengaluru,5-10 Yrs,"algorithms
SAS
technical
software
methods
testing
Data structures
Data mining"
496,Position Data Scientist,Positive Integers Pvt Ltd,Chennai,0-1 Yrs,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
497,Position Data Scientist,Positive Integers Pvt Ltd,Chennai,2-5 Yrs,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
498,Data Scientist Operational Research,Delhivery,Gurgaon,1-3 Yrs,"Supply chain
Operations research
C++
Analytical
Tools
CMS
Customer service
Distribution network"
499,Data Scientist III,"General Mills, Inc.",Mumbai,6-11 Yrs,"Automation
Analytical
Machine learning
HTML
Data mining
Business solutions
Operations
Analytics"
500,Data Scientist,BrainToSoul Consulting,Bengaluru,3-6 Yrs,"IT services
Usage
Algorithms
Support
level
Analytical
Hadoop
it"
501,AI / ML Data Scientist - Democratize commerce through Technology,CareerXperts Consulting,Noida,2-7 Yrs,"Computer science
System architecture
C++
Image processing
Analytical
Consulting
Machine learning
Data mining"
502,Data Scientist,Korgen Technologies (P) Limited,Chennai,3-5 Yrs,"System architecture
Modification
advanced analytics
Data analysis
software
Data mining
SQL
analytics"
503,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,2-5 Yrs,Senior Data Scientist
504,BDB Data Scientist,BizViz Technologies Pvt. Ltd.,"Bengaluru, Hyderabad",3-8 Yrs,"algorithms
ERP
Data analysis
development
SAS
technical
software
developing"
505,Data scientist / Developer,Elton Consulting (INDIA) Private Limited,Coimbatore,3-8 Yrs,"development
sap
Architecture
Social media
Business Executive
sql
Mining
Graph"
506,DATA SCIENTIST,Tech27 Systems Ltd,Kozhikode,3-8 Yrs,"C++
SQL database
Analytical
Machine learning
Javascript
Calculus
Windows
Analytics"
507,Data Scientist,Zauba Technologies & Data Services Private Limited,Bengaluru,3-5 Yrs,"development
Hadoop
Tools
Data mining
Apache
Business Executive
SQL
quality"
508,Data Scientist,CoStrategix Technologies Pvt. Ltd.,Bengaluru,3-7 Yrs,"Statistical analysis
MySQL
Consulting
Machine learning
Hypothesis Testing
Data structures
Natural language processing
Statistics"
509,AI Developer/ Data Scientist,OPEXAI BUSINESS CONSULTING LLP,india,3-8 Yrs,"Unix
C++
Linux
Data modeling
Eclipse
MySQL
Data structures
Visual Studio"
510,Data Scientist -Technology,India Anlage Infotech (I) Pvt. Ltd.,Bengaluru,5-10 Yrs,"algorithms
SAS
technical
software
methods
testing
Data structures
Data mining"
511,Senior Data Scientist,tcpwave,Hyderabad,7-12 Yrs,"Computer science
Operations research
data science
Machine learning
DNS
Predictive modeling
DHCP
SQL"
512,Manager Data Scientist,3D-IP Semiconductors,Bengaluru,10-12 Yrs,"Computer vision
Technology management
Machine learning
Programming
Manager Technology
PHP
Management
MATLAB"
513,Data Scientist,AgileTech InfoSolutions,Chennai,4-9 Yrs,"Retail
C++
Analytical
Machine learning
E-commerce
Perl
Predictive modeling
Data mining"
514,Data Scientist,Fractal Analytics Ltd,Bengaluru,3-6 Yrs,"Linux
RF
RDBMS
Bfsi
Consulting
Data structures
Healthcare
SEM"
515,Data Scientist,Angel Broking Limited,Andheri,4-8 Yrs,"data science
R Programming
Machine learning
Programming
Data quality
data visualization
big data
Statistics"
516,Data Scientist,Seven Consultancy,"Navi Mumbai, Mumbai",3-6 Yrs,"Data analysis
Artificial Intelligence
Machine learning
Management consulting
Pattern recognition
Data mining
Forecasting
SQL"
517,Data Scientist,Hyrefox,Mumbai,1-3 Yrs,"Computer vision
deep learning
spark
Opencv
Machine learning
Packaging
Data structures
Statistics"
518,Associate Data Scientist,HR Devi and Associates,Mumbai,1-2 Yrs,"python
NLP
Pharma
Medical
Management
Safety
machine learning
big data"
519,Associate Data Scientist,HR Devi and Associates,Mumbai,1-2 Yrs,"Usage
SAP
Claims
SAS R
Clinical trials
Programming
Excellent Communication skill
Clinical research"
520,Lead Data Scientist,Snaphunt,Bengaluru,8-13 Yrs,"Data Science
Pyspark
R
Artificial Intelligence
Time Series
Data Mining
Machine Learning
Deep Learning"
521,Machine Learning Engineer/data Scientist,AUTODESK INDIA PRIVATE LIMITED,Bengaluru,5-10 Yrs,"kubernetes
scala
anomaly detection
docker
salesforce
deep learning
tensorflow
jupyter"
522,Data Scientist,Innominds Software Pvt Ltd,Hyderabad,4-8 Yrs,"algorithms
python
Artificial Intelligence
Information retrieval
Pattern recognition
Mining
Digital media
deep learning"
523,IQM - Data Scientist,IQM Corporation,"Ahmedabad, ahmedabad",8-10 Yrs,"analytical
Data processing
Business Executive
Computer science
Algorithms
Coding
Machine learning
design"
524,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,7-9 Yrs,"SAS
data science
Consulting
Presales
Stores
SPSS
big data
Business Executive"
525,Senior Data Scientist,Karvy Analytics,Hyderabad,5-10 Yrs,"rest
development
code
Image processing
big data analytics
level
testing
System design"
526,Senior Data Scientist,STATXO,"Bengaluru, Gurgaon",4-6 Yrs,"Analytical skills
advanced analytics
Chemical
Industrial products
Manager Technology
Market research
MS Office
Word VBA"
527,Senior Data Scientist / Algorithms Specialist,AmyLogic,Bengaluru,4-5 Yrs,"technical
software
MPP
tools
sql
analytics
web
MySQL"
528,Data Scientist,Profisor Services Pvt. Ltd.,Gurgaon,8-13 Yrs,"Algorithms
Bfsi
Analytical
Consulting
Machine learning
Agile
Tools
Healthcare"
529,Lead Data Scientist and Cognitive Software Engineer,Gladwin Analytics,"Bengaluru, Hyderabad",5-10 Yrs,"Computer science
C++
Prototype
Linux
MySQL
Machine learning
Oracle
Analytics"
530,Data Scientist,SPICE HR,Indore,5-10 Yrs,"vocal instruction
State Machine
chat process
lead voice scientist
live chat
lead data scientist
voice scientist
vocal chat"
531,Data Scientist,Novitas Infotech,Bengaluru,5-10 Yrs,"Data Science
R
Presto
Hadoop
Customer Analytics
Data Mining
Tableau
Night Shift"
532,Principal Data Scientist,"Continues Intelligence Lab Pvt.Ltd,",Bengaluru,10-15 Yrs,"algorithms
test
sas
frameworks
level
prototyping
CouchDB
PostgreSQL"
533,Senior Data Scientist,Turings (formerly Tuple),"Delhi NCR, Bengaluru",6-11 Yrs,"deep learning
algorithms
python
tensorflow
Multithreading
data science
Scalability
pytorch"
534,Data Scientist (lead),Inceptial Infrastructure & Technology LLP,Kolkata,8-9 Yrs,"deep learning
kubernetes
nlp
Docker
data scientist
Lead Data Scientist"
535,Senior Data Scientist,ExecBoardinAsia,Bengaluru,5-10 Yrs,"Deployment
Project planning
Monitoring"
536,Lead Data Scientist,Positive Integers Pvt Ltd,Chennai,5-10 Yrs,"rest
algorithms
python
SAS
Mentor
Lead Coach
Management
Analytics"
537,"Senior Data Scientist in Manhattan Associates (r&d), Bengaluru",UNICON HR SOFTECH PVT LTD,Bengaluru,6-11 Yrs,"python
senior data scientist
data mining
Machine Learning
sr. data scientist"
538,Data Scientist,GlobalHunt India Private Limited,Hyderabad,12-15 Yrs,"NLP
SAS
Machine learning
Python"
539,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,7-9 Yrs,"SAS
data science
Consulting
Presales
model development
SPSS
big data
Business Executive"
540,Senior Data Scientist,Harpreet Kaur Bhatti,Germany,5-10 Yrs,"Java
Python
SQL
Data Science
Amazon Redshift
Java Architecture
Javascript
Spark"
541,DATA SCIENTIST (Analytics Technology),Melstar Information Technologies Ltd,"Bengaluru, Gurgaon",7-12 Yrs,"C++
SAS
technical
it
Data mining
Analytics
SQL
Computer science"
542,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,4-5 Yrs,"data science
Machine learning
Deployment
Author
HTML
Data mining
Analytics
Android"
